Locomotion,Speed (um/s)
swim,12.647
swim,12.647
swim,15.932
swim,16.764
swim,16.764
swim,25.708
swim,23.907
swim,18.909
swim,19.048
swim,18.433
swim,18.115
swim,18.115
swim,19.881
swim,19.049
swim,26.109
swim,17.165
swim,14.421
swim,14.421
swim,12.197
swim,12.531
swim,18.096
swim,13.205
swim,13.205
swim,15.143
swim,15.793
swim,18.572
swim,17.992
swim,12.427
swim,17.191
swim,17.191
swim,12.188
swim,18.081
swim,22.62
swim,18.625
swim,19.622
swim,21.594
swim,22.04
swim,37.586
swim,36.242
swim,36.242
swim,40.244
swim,34.351
swim,29.812
swim,29.812
swim,28.165
swim,23.414
swim,22.968
swim,17.348
swim,15.221
swim,15.221
swim,16.865
swim,18.648
swim,22.353
swim,22.353
swim,26.096
swim,26.096
swim,23.695
swim,15.355
swim,12.725
swim,16.895
swim,15.722
swim,12.946
swim,14.857
swim,15.102
swim,16.452
swim,15.803
swim,15.803
swim,22.074
swim,26.093
swim,31.968
swim,36.883
swim,32.877
swim,29.351
swim,30.828
swim,26.394
swim,28.602
swim,32.31
swim,26.039
swim,22.02
swim,17.874
swim,13.714
swim,13.714
swim,12.898
swim,16.051
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,0.56025
crawl,1.29525
crawl,1.29525
crawl,1.29525
crawl,1.29525
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.80825
crawl,0.902
crawl,0.902
crawl,0.902
crawl,1.196
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.2975
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,1.468
crawl,0.733
crawl,1.66225
crawl,1.66225
crawl,1.66225
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.589
crawl,1.49525
crawl,1.76325
crawl,1.76325
crawl,1.46925
crawl,1.36775
crawl,1.36775
crawl,1.36775
crawl,1.36775
crawl,1.47
crawl,1.47
