xval,yval,time
0.0,0.0,0
37.73,-21.56,9
91.63,-21.56,9
145.53,-21.56,9
199.43,-21.56,570
237.16,-37.73,1108
269.5,-59.29,1457
285.67,-97.02,1788
339.57,-97.02,1795
361.13,-129.36,2105
366.52,-177.87,2534
377.3,-220.99,2781
415.03,-237.16,3215
458.15,-247.94,3479
490.49,-269.5,3755
501.27,-312.62,4099
539.0,-328.79,4347
576.73,-344.96,4730
619.85,-355.74,4970
641.41,-388.08,5208
689.92,-393.47,5460
722.26,-415.03,5835
749.21,-441.98,6253
786.94,-458.15,6411
819.28,-479.71,6631
840.84,-512.05,6887
862.4,-544.39,7064
900.13,-560.56,7278
937.86,-576.73,7984
980.98,-587.51,8429
1034.88,-587.51,8574
1088.78,-587.51,8887
1142.68,-587.51,9564
1196.58,-587.51,10123
1250.48,-587.51,10768
1304.38,-587.51,11117
1358.28,-587.51,11615
1412.18,-587.51,11959
1466.08,-587.51,12917
1519.98,-587.51,13118
1573.88,-587.51,13787
1611.61,-603.68,14554
1665.51,-603.68,14554
1719.41,-603.68,15524
1773.31,-603.68,15894
1784.09,-560.56,16289
1837.99,-560.56,16289
1891.89,-560.56,16290
1935.01,-549.78,16791
1924.23,-506.66,17305
1897.28,-479.71,17307
