Organism,Speed (um/s)
Spirostomum,61
Spirostomum,83
Spirostomum,42
Spirostomum,49
Spirostomum,42
Spirostomum,71
Spirostomum,54
Spirostomum,112
Spirostomum,75
Spirostomum,86
Spirostomum,109
Spirostomum,53
Spirostomum,67
Spirostomum,38
Spirostomum,55
Spirostomum,71
Spirostomum,51
Spirostomum,51
Spirostomum,49
Spirostomum,32
Spirostomum,57
Spirostomum,84
Spirostomum,60
Spirostomum,60
Spirostomum,124
Spirostomum,32
Spirostomum,71
Spirostomum,40
Spirostomum,49
Spirostomum,59
Spirostomum,33
Spirostomum,213
Spirostomum,50
Spirostomum,133
Spirostomum,42
Spirostomum,118
Spirostomum,33
Spirostomum,56
Spirostomum,101
Spirostomum,64
Spirostomum,98
Spirostomum,287
Spirostomum,100
Spirostomum,156
Spirostomum,77
Spirostomum,51
Spirostomum,59
Spirostomum,83
Spirostomum,162
Spirostomum,30
Spirostomum,29
Spirostomum,73
Spirostomum,69
Spirostomum,74
Spirostomum,65
Spirostomum,86
Spirostomum,49
Spirostomum,46
Spirostomum,62
Spirostomum,79
Spirostomum,71
Spirostomum,71
Spirostomum,67
Spirostomum,59
Spirostomum,67
Spirostomum,50
Spirostomum,42
Spirostomum,28
Spirostomum,116
Spirostomum,95
Spirostomum,91
Spirostomum,68
Spirostomum,44
Spirostomum,63
Spirostomum,90
Spirostomum,49
Spirostomum,45
Spirostomum,72
Spirostomum,34
Spirostomum,258
Spirostomum,61
Spirostomum,102
Spirostomum,63
Spirostomum,88
Spirostomum,45
Spirostomum,84
Spirostomum,154
Spirostomum,32
Spirostomum,68
Spirostomum,45
Spirostomum,61
Spirostomum,212
Spirostomum,158
Spirostomum,100
Spirostomum,147
Spirostomum,185
Spirostomum,106
Spirostomum,42
Spirostomum,50
Spirostomum,50
Spirostomum,36
Spirostomum,56
Spirostomum,32
Spirostomum,33
Spirostomum,42
Spirostomum,33
Spirostomum,44
Spirostomum,53
Spirostomum,59
Spirostomum,31
Spirostomum,39
Spirostomum,91
Spirostomum,93
Spirostomum,69
Spirostomum,64
Spirostomum,51
Spirostomum,40
Spirostomum,91
Spirostomum,45
Spirostomum,103
Spirostomum,38
Spirostomum,56
Spirostomum,68
Spirostomum,182
Spirostomum,65
Spirostomum,67
Spirostomum,59
Spirostomum,125
Spirostomum,229
Spirostomum,105
Spirostomum,141
Spirostomum,66
Spirostomum,55
Spirostomum,47
Spirostomum,91
Spirostomum,83
Spirostomum,77
Spirostomum,79
Spirostomum,57
Spirostomum,81
Spirostomum,189
Spirostomum,117
Spirostomum,169
Spirostomum,141
Spirostomum,66
Spirostomum,117
Spirostomum,83
Spirostomum,173
Spirostomum,128
Spirostomum,118
Spirostomum,91
Spirostomum,40
Spirostomum,63
Spirostomum,43
Spirostomum,146
Spirostomum,20
Spirostomum,89
Spirostomum,67
Spirostomum,74
Spirostomum,86
Spirostomum,141
Spirostomum,59
Spirostomum,63
Spirostomum,81
Spirostomum,74
Spirostomum,98
Spirostomum,106
Spirostomum,62
Spirostomum,53
Spirostomum,280
Spirostomum,305
Spirostomum,121
Spirostomum,90
Spirostomum,147
Spirostomum,167
Spirostomum,133
Spirostomum,100
Spirostomum,106
Spirostomum,177
Spirostomum,91
Spirostomum,104
Spirostomum,115
Spirostomum,181
Spirostomum,69
Spirostomum,211
Spirostomum,88
Spirostomum,83
Spirostomum,74
Spirostomum,52
Spirostomum,124
Spirostomum,190
Spirostomum,97
Spirostomum,123
Spirostomum,84
Spirostomum,219
Spirostomum,192
Spirostomum,160
Spirostomum,90
Spirostomum,162
Spirostomum,104
Spirostomum,145
Spirostomum,165
Spirostomum,122
Spirostomum,105
Spirostomum,299
Spirostomum,163
Spirostomum,35
Spirostomum,184
Spirostomum,106
Spirostomum,112
Spirostomum,156
Spirostomum,116
Spirostomum,91
Spirostomum,61
Spirostomum,56
Spirostomum,63
Spirostomum,94
Spirostomum,88
Spirostomum,186
Spirostomum,139
Spirostomum,484
Spirostomum,462
Spirostomum,188
Spirostomum,105
Spirostomum,141
Spirostomum,205
Spirostomum,319
Spirostomum,319
Spirostomum,81
Spirostomum,156
Spirostomum,212
Spirostomum,126
Spirostomum,179
Spirostomum,169
Spirostomum,38
Spirostomum,38
Bursaria,508
Bursaria,153
Bursaria,87
Bursaria,595
Bursaria,296
Bursaria,182
Bursaria,364
Bursaria,391
Bursaria,518
Bursaria,271
Bursaria,416
Bursaria,427
Bursaria,109
Bursaria,547
Bursaria,274
Bursaria,404
Bursaria,96
Bursaria,236
Bursaria,359
Bursaria,392
Bursaria,304
Bursaria,348
Bursaria,211
Bursaria,601
Bursaria,140
Bursaria,368
Bursaria,342
Bursaria,67
Bursaria,415
Bursaria,139
Bursaria,780
Bursaria,724
Bursaria,545
Bursaria,953
Bursaria,350
Bursaria,296
Bursaria,801
Bursaria,712
Bursaria,730
Bursaria,97
Bursaria,647
Bursaria,120
Bursaria,443
Bursaria,361
Bursaria,900
Bursaria,369
Bursaria,270
Bursaria,127
Bursaria,562
Bursaria,427
Bursaria,506
Bursaria,141
Bursaria,656
Bursaria,673
Bursaria,560
Bursaria,192
Bursaria,1329
Bursaria,755
Bursaria,310
Bursaria,318
Bursaria,732
Bursaria,710
Bursaria,136
Bursaria,544
Bursaria,658
Bursaria,485
Bursaria,789
Bursaria,526
Bursaria,95
Bursaria,562
Bursaria,449
Bursaria,405
Bursaria,315
Bursaria,486
Bursaria,239
Bursaria,502
Bursaria,736
Bursaria,380
Bursaria,181
Bursaria,277
Bursaria,288
Bursaria,434
Bursaria,138
Bursaria,751
Bursaria,135
