xval,yval,time,platxval,platyval,orgxval,orgyval
0.0,0.0,0.0,0.0,0.0,0.0,0.0
-227.04000000000002,655.32,0.0,0.0,0.0,-227.04000000000002,655.32
-200.0,700.0,0.0,0.0,0.0,-200.0,700.0
-600.0,-471.83207750320435,0.898,0.0,-571.8320775032043,-600.0,100.0
-600.0,-471.83207750320435,1.1,0.0,-571.8320775032043,-600.0,100.0
-600.0,-571.8320775032043,1.599,0.0,-571.8320775032043,-600.0,0.0
-600.0,-571.8320775032043,1.999,0.0,-571.8320775032043,-600.0,-0.0
-600.0,-671.8320775032043,2.401,0.0,-571.8320775032043,-600.0,-100.0
-170.44572114944458,-971.8320775032043,3.8,429.5542788505554,-571.8320775032043,-600.0,-400.0
-70.44572114944458,-971.8320775032043,4.299,429.5542788505554,-571.8320775032043,-500.0,-400.0
-70.44572114944458,-971.8320775032043,4.801,429.5542788505554,-571.8320775032043,-500.0,-400.0
-70.44572114944458,-451.0599613189697,5.2,429.5542788505554,-151.05996131896973,-500.0,-300.0
-70.44572114944458,-351.0599613189697,5.397,429.5542788505554,-151.05996131896973,-500.0,-200.0
-270.4457211494446,-551.0599613189697,6.497,429.5542788505554,-151.05996131896973,-700.0,-400.0
-270.4457211494446,-51.362202167510986,7.101,429.5542788505554,148.637797832489,-700.0,-200.0
369.5096445083618,-51.362202167510986,7.802,769.5096445083618,148.637797832489,-400.0,-200.0
369.5096445083618,-51.362202167510986,8.101,769.5096445083618,148.637797832489,-400.0,-200.0
269.5096445083618,-251.362202167511,8.897,769.5096445083618,148.637797832489,-500.0,-400.0
169.50964450836182,215.41552066802979,9.698,769.5096445083618,615.4155206680298,-600.0,-400.0
69.50964450836182,557.3308801651001,9.9,769.5096445083618,957.3308801651001,-700.0,-400.0
69.50964450836182,757.3308801651001,10.102,769.5096445083618,957.3308801651001,-700.0,-200.0
84.58706855773926,657.3308801651001,10.4,884.5870685577393,957.3308801651001,-800.0,-300.0
1087.5463962554932,557.3308801651001,10.899,1287.5463962554932,957.3308801651001,-200.0,-400.0
987.5463962554932,945.1986932754517,11.398,1287.5463962554932,1245.1986932754517,-300.0,-300.0
887.5463962554932,845.1986932754517,12.099,1287.5463962554932,1245.1986932754517,-400.0,-400.0
