xval,yval,time,platxval,platyval,orgxval,orgyval,,
-17440.49917,2663.785037,2025.263,-17240.49917,2363.358037,-200,100,,
-17440.49917,2663.785037,2025.962,-17240.49917,2363.358037,-200,100,,
-17440.49917,2663.785037,2026.264,-17240.49917,2363.358037,-200,100,,
-17440.49917,2663.785037,2026.664,-17240.49917,2363.358037,-200,100,,
-17440.49917,2663.785037,2027.059,-17240.49917,2363.358037,-200,100,,
-17446.14789,2663.785037,2027.662,-17246.14789,2363.358037,-200,100,,
-17564.32163,2658.38202,2027.963,-17264.32163,2357.95502,-300,100,,
-17564.32163,2617.858631,2028.563,-17264.32163,2317.431631,-300,100,,
-17464.32163,2617.858631,2028.66,-17264.32163,2317.431631,-200,100,,
-17665.17482,2583.72078,2029.165,-17565.17482,2283.29378,-100,100,,
-17765.17482,2566.96989,2030.06,-17565.17482,2266.54289,-200,100,,
-17787.5237,2561.321169,2030.563,-17587.5237,2260.894169,-200,100,,
-17787.5237,2561.321169,2030.865,-17587.5237,2260.894169,-200,100,,
-17716.75652,2561.321169,2031.964,-17616.75652,2260.894169,-100,100,,
-17716.75652,2561.321169,2032.26,-17616.75652,2260.894169,-100,100,,
-17816.75652,2561.321169,2032.56,-17616.75652,2260.894169,-200,100,,
-17816.75652,2561.321169,2032.863,-17616.75652,2260.894169,-200,100,,
-17816.75652,2561.321169,2033.36,-17616.75652,2260.894169,-200,100,,
-17816.75652,2555.672683,2033.661,-17616.75652,2255.245683,-200,100,,
-17739.26715,2544.12948,2033.962,-17639.26715,2243.70248,-100,100,,
-17839.26715,2544.12948,2034.462,-17639.26715,2243.70248,-200,100,,
-17839.26715,2544.12948,2034.663,-17639.26715,2243.70248,-200,100,,
-17839.26715,2533.568856,2035.16,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2035.363,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2035.659,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2035.864,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2035.959,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2036.164,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2036.959,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2037.661,-17639.26715,2233.141856,-200,100,,
-17839.26715,2533.568856,2038.259,-17639.26715,2233.141856,-200,100,,
-17839.26715,2505.81672,2039.863,-17639.26715,2205.38972,-200,100,,
-17839.26715,2505.81672,2040.361,-17639.26715,2205.38972,-200,100,,
-17739.26715,2505.81672,2040.564,-17639.26715,2205.38972,-100,100,,
-17739.26715,2505.81672,2041.063,-17639.26715,2205.38972,-100,100,,
-17739.26715,2505.81672,2041.562,-17639.26715,2205.38972,-100,100,,
