xval,yval,time,platxval,platyval,orgxval,orgyval
-7521.959330141544,4843.915098309517,539.582,-7321.959330141544,4743.915098309517,-200.0,100.0
-7521.959330141544,4843.915098309517,540.085,-7321.959330141544,4743.915098309517,-200.0,100.0
-7539.41545188427,4843.915098309517,540.581,-7339.41545188427,4743.915098309517,-200.0,100.0
-7539.41545188427,4843.915098309517,541.082,-7339.41545188427,4743.915098309517,-200.0,100.0
-7539.41545188427,4877.9982897639275,541.882,-7339.41545188427,4777.9982897639275,-200.0,100.0
-7545.309406518936,4877.9982897639275,542.381,-7345.309406518936,4777.9982897639275,-200.0,100.0
-7550.71236461401,4877.9982897639275,542.782,-7350.71236461401,4777.9982897639275,-200.0,100.0
-7556.924765408039,4877.9982897639275,543.384,-7356.924765408039,4777.9982897639275,-200.0,100.0
-7556.924765408039,4877.9982897639275,543.883,-7356.924765408039,4777.9982897639275,-200.0,100.0
-7562.327723503113,4877.9982897639275,544.283,-7362.327723503113,4777.9982897639275,-200.0,100.0
-7574.123323857784,4883.699262738228,544.782,-7374.123323857784,4783.699262738228,-200.0,100.0
-7574.123323857784,4883.699262738228,545.081,-7374.123323857784,4783.699262738228,-200.0,100.0
-7574.123323857784,4883.699262738228,545.384,-7374.123323857784,4783.699262738228,-200.0,100.0
-7580.017337203026,4883.699262738228,545.784,-7380.017337203026,4783.699262738228,-200.0,100.0
-7620.979000926018,4883.699262738228,546.283,-7420.979000926018,4783.699262738228,-200.0,100.0
-7520.979000926018,4894.996703863144,546.684,-7420.979000926018,4794.996703863144,-100.0,100.0
-7620.979000926018,4894.996703863144,547.184,-7420.979000926018,4794.996703863144,-200.0,100.0
-7620.979000926018,4894.996703863144,547.681,-7420.979000926018,4794.996703863144,-200.0,100.0
-7661.020258963108,4894.996703863144,548.085,-7461.020258963108,4794.996703863144,-200.0,100.0
-7561.020258963108,4906.557403206825,548.582,-7461.020258963108,4806.557403206825,-100.0,100.0
-7661.020258963108,4906.557403206825,548.983,-7461.020258963108,4806.557403206825,-200.0,100.0
-7661.020258963108,4918.10007840395,549.384,-7461.020258963108,4818.10007840395,-200.0,100.0
-7690.042833685875,4918.10007840395,549.782,-7490.042833685875,4818.10007840395,-200.0,100.0
-7690.042833685875,4918.10007840395,550.282,-7490.042833685875,4818.10007840395,-200.0,100.0
-7590.042833685875,4947.082260251045,550.68,-7490.042833685875,4847.082260251045,-100.0,100.0
-7690.042833685875,4947.082260251045,551.082,-7490.042833685875,4847.082260251045,-200.0,100.0
-7690.042833685875,4947.082260251045,551.382,-7490.042833685875,4847.082260251045,-200.0,100.0
-7690.042833685875,4947.082260251045,551.783,-7490.042833685875,4847.082260251045,-200.0,100.0
-7695.691554248333,4947.082260251045,552.183,-7495.691554248333,4847.082260251045,-200.0,100.0
-7707.234288156033,4947.082260251045,552.683,-7507.234288156033,4847.082260251045,-200.0,100.0
-7707.234288156033,4958.617361783981,553.182,-7507.234288156033,4858.617361783981,-200.0,100.0
-7730.818854570389,4964.511844813824,553.681,-7530.818854570389,4864.511844813824,-200.0,100.0
-7730.818854570389,4976.301045715809,554.083,-7530.818854570389,4876.301045715809,-200.0,100.0
-7730.818854570389,4976.301045715809,554.381,-7530.818854570389,4876.301045715809,-200.0,100.0
-7730.818854570389,4988.089776933193,554.881,-7530.818854570389,4888.089776933193,-200.0,100.0
-7730.818854570389,4988.089776933193,555.381,-7530.818854570389,4888.089776933193,-200.0,100.0
-7753.904792070389,4999.575385451317,555.883,-7553.904792070389,4899.575385451317,-200.0,100.0
-7753.904792070389,4999.575385451317,556.384,-7553.904792070389,4899.575385451317,-200.0,100.0
-7682.190079391003,4999.575385451317,556.785,-7582.190079391003,4899.575385451317,-100.0,100.0
-7817.555509805679,4999.575385451317,557.283,-7617.555509805679,4899.575385451317,-200.0,100.0
-7817.555509805679,4999.575385451317,557.582,-7617.555509805679,4899.575385451317,-200.0,100.0
-7845.761713981628,4999.575385451317,558.183,-7645.761713981628,4899.575385451317,-200.0,100.0
-7857.312315106392,4999.575385451317,558.684,-7657.312315106392,4899.575385451317,-200.0,100.0
-7781.135246455669,4999.575385451317,559.082,-7681.135246455669,4899.575385451317,-100.0,100.0
-7881.135246455669,4999.575385451317,559.383,-7681.135246455669,4899.575385451317,-200.0,100.0
-7881.135246455669,4999.575385451317,559.482,-7681.135246455669,4899.575385451317,-200.0,100.0
-7881.135246455669,4999.575385451317,560.284,-7681.135246455669,4899.575385451317,-200.0,100.0
-7881.135246455669,4999.575385451317,560.38,-7681.135246455669,4899.575385451317,-200.0,100.0
-7881.135246455669,4999.575385451317,560.482,-7681.135246455669,4899.575385451317,-200.0,100.0
-7881.135246455669,4999.575385451317,560.581,-7681.135246455669,4899.575385451317,-200.0,100.0
-7908.986075520515,4999.575385451317,561.482,-7708.986075520515,4899.575385451317,-200.0,100.0
-7908.986075520515,4999.575385451317,561.783,-7708.986075520515,4899.575385451317,-200.0,100.0
-7954.175605177879,5022.421490252018,563.382,-7754.175605177879,4922.421490252018,-200.0,100.0
-7954.175605177879,5022.421490252018,564.282,-7754.175605177879,4922.421490252018,-200.0,100.0
-7954.175605177879,5022.421490252018,564.584,-7754.175605177879,4922.421490252018,-200.0,100.0
-7954.175605177879,5022.421490252018,564.681,-7754.175605177879,4922.421490252018,-200.0,100.0
-7954.175605177879,5022.421490252018,565.483,-7754.175605177879,4922.421490252018,-200.0,100.0
-7954.175605177879,5022.421490252018,565.782,-7754.175605177879,4922.421490252018,-200.0,100.0
-7976.5254881978035,5022.421490252018,566.084,-7776.5254881978035,4922.421490252018,-200.0,100.0
-7976.5254881978035,5022.421490252018,566.383,-7776.5254881978035,4922.421490252018,-200.0,100.0
-7976.5254881978035,5022.421490252018,566.583,-7776.5254881978035,4922.421490252018,-200.0,100.0
-7981.921107470989,5056.112671196461,566.882,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,567.383,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,567.684,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,567.983,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,568.284,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,568.583,-7781.921107470989,4956.112671196461,-200.0,100.0
-7981.921107470989,5056.112671196461,568.882,-7781.921107470989,4956.112671196461,-200.0,100.0
-7909.76900100708,5094.931516349316,569.383,-7809.76900100708,4994.931516349316,-100.0,100.0
-8020.848508477211,5094.931516349316,570.183,-7820.848508477211,4994.931516349316,-200.0,100.0
-8026.496994197369,5094.931516349316,570.382,-7826.496994197369,4994.931516349316,-200.0,100.0
-8037.549494802952,5105.983429849148,571.182,-7837.549494802952,5005.983429849148,-200.0,100.0
-8037.549494802952,5105.983429849148,571.382,-7837.549494802952,5005.983429849148,-200.0,100.0
-7965.813587605953,5133.247798979282,571.881,-7865.813587605953,5033.247798979282,-100.0,100.0
-8065.813587605953,5133.247798979282,572.781,-7865.813587605953,5033.247798979282,-200.0,100.0
-8065.813587605953,5133.247798979282,573.082,-7865.813587605953,5033.247798979282,-200.0,100.0
-8065.813587605953,5133.247798979282,573.381,-7865.813587605953,5033.247798979282,-200.0,100.0
-8099.406487047672,5133.247798979282,574.184,-7899.406487047672,5033.247798979282,-200.0,100.0
-8111.217176020145,5149.708306789398,574.983,-7911.217176020145,5049.708306789398,-200.0,100.0
-8111.217176020145,5149.708306789398,575.782,-7911.217176020145,5049.708306789398,-200.0,100.0
-8116.865661740303,5149.708306789398,575.982,-7916.865661740303,5049.708306789398,-200.0,100.0
-8134.064748585224,5149.708306789398,576.483,-7934.064748585224,5049.708306789398,-200.0,100.0
-8145.412211120129,5149.708306789398,576.783,-7945.412211120129,5049.708306789398,-200.0,100.0
-8156.352809369564,5149.708306789398,577.081,-7956.352809369564,5049.708306789398,-200.0,100.0
-8201.445407867432,5149.708306789398,577.881,-8001.445407867432,5049.708306789398,-200.0,100.0
-8112.988376617432,5149.708306789398,578.182,-8012.988376617432,5049.708306789398,-100.0,100.0
-8224.191528558731,5149.708306789398,578.483,-8024.191528558731,5049.708306789398,-200.0,100.0
-8229.84024912119,5149.708306789398,578.582,-8029.840249121189,5049.708306789398,-200.0,100.0
-8141.137690246105,5149.708306789398,578.88,-8041.137690246105,5049.708306789398,-100.0,100.0
-8241.137690246105,5149.708306789398,579.382,-8041.137690246105,5049.708306789398,-200.0,100.0
-8241.137690246105,5155.111264884472,579.682,-8041.137690246105,5055.111264884472,-200.0,100.0
-8241.137690246105,5172.3709410429,580.484,-8041.137690246105,5072.3709410429,-200.0,100.0
-8241.137690246105,5172.3709410429,580.781,-8041.137690246105,5072.3709410429,-200.0,100.0
-8241.137690246105,5183.422678411007,581.883,-8041.137690246105,5083.422678411007,-200.0,100.0
-8241.137690246105,5189.221169650555,582.084,-8041.137690246105,5089.221169650555,-200.0,100.0
-8141.137690246105,5218.29640775919,582.384,-8041.137690246105,5118.29640775919,-100.0,100.0
-8241.137690246105,5218.29640775919,582.582,-8041.137690246105,5118.29640775919,-200.0,100.0
