xval,yval,time,platxval,platyval,orgxval,orgyval,,
18.17606956,451.6401204,43.584,-81.82393044,351.6401204,100,100,,
18.17606956,451.6401204,43.781,-81.82393044,351.6401204,100,100,,
18.17606956,451.6401204,43.883,-81.82393044,351.6401204,100,100,,
18.17606956,451.6401204,43.984,-81.82393044,351.6401204,100,100,,
118.1760696,470.5513251,45.083,-81.82393044,370.5513251,200,100,,
118.1760696,470.5513251,45.681,-81.82393044,370.5513251,200,100,,
118.1760696,470.5513251,45.78,-81.82393044,370.5513251,200,100,,
118.1760696,495.3560734,45.882,-81.82393044,395.3560734,200,100,,
118.1760696,495.3560734,45.985,-81.82393044,395.3560734,200,100,,
325.9453386,495.3560734,46.88,125.9453386,395.3560734,200,100,,
325.9453386,495.3560734,47.081,125.9453386,395.3560734,200,100,,
325.9453386,495.3560734,47.185,125.9453386,395.3560734,200,100,,
325.9453386,495.3560734,47.381,125.9453386,395.3560734,200,100,,
225.9453386,495.3560734,47.483,125.9453386,395.3560734,100,100,,
225.9453386,495.3560734,47.584,125.9453386,395.3560734,100,100,,
325.9453386,513.2778874,48.78,125.9453386,413.2778874,200,100,,
325.9453386,513.2778874,48.881,125.9453386,413.2778874,200,100,,
325.9453386,513.2778874,48.985,125.9453386,413.2778874,200,100,,
357.13586,550.3178608,50.783,157.13586,450.3178608,200,100,,
357.13586,550.3178608,50.881,157.13586,450.3178608,200,100,,
257.13586,550.3178608,51.181,157.13586,450.3178608,100,100,,
257.13586,550.3178608,51.282,157.13586,450.3178608,100,100,,
257.13586,550.3178608,51.382,157.13586,450.3178608,100,100,,
257.13586,550.3178608,51.484,157.13586,450.3178608,100,100,,
257.13586,550.3178608,51.584,157.13586,450.3178608,100,100,,
257.13586,556.4578715,52.982,157.13586,456.4578715,100,100,,
257.13586,556.4578715,53.083,157.13586,456.4578715,100,100,,
257.13586,568.4920716,53.182,157.13586,468.4920716,100,100,,
257.13586,574.6252131,53.281,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.382,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.48,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.681,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.781,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.881,157.13586,474.6252131,100,100,,
257.13586,574.6252131,53.982,157.13586,474.6252131,100,100,,
257.13586,574.6252131,54.782,157.13586,474.6252131,100,100,,
257.13586,574.6252131,54.881,157.13586,474.6252131,100,100,,
257.13586,574.6252131,55.082,157.13586,474.6252131,100,100,,
257.13586,574.6252131,55.183,157.13586,474.6252131,100,100,,
257.13586,574.6252131,55.283,157.13586,474.6252131,100,100,,
257.13586,574.6252131,55.384,157.13586,474.6252131,100,100,,
257.13586,611.2186927,56.784,157.13586,511.2186927,100,100,,
257.13586,617.6042309,56.884,157.13586,517.6042309,100,100,,
257.13586,623.7442416,56.985,157.13586,523.7442416,100,100,,
257.13586,623.7442416,57.483,157.13586,523.7442416,100,100,,
463.7666324,623.7442416,58.082,163.7666324,523.7442416,300,100,,
563.7666324,723.7442416,58.182,163.7666324,523.7442416,400,200,,
463.7666324,853.8551155,58.88,163.7666324,753.8551155,300,100,,
463.7666324,853.8551155,58.981,163.7666324,753.8551155,300,100,,
463.7666324,853.8551155,59.084,163.7666324,753.8551155,300,100,,
576.772455,653.8551155,60.081,576.772455,753.8551155,0,-100,,
576.772455,653.8551155,60.182,576.772455,753.8551155,0,-100,,
676.772455,653.8551155,60.282,576.772455,753.8551155,100,-100,,
676.772455,647.7151048,60.382,576.772455,747.7151048,100,-100,,
676.2726331,678.6369467,61.681,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,61.882,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,61.982,776.2726331,678.6369467,-100,0,,
776.2726331,678.6369467,62.082,776.2726331,678.6369467,0,0,,
776.2726331,778.6369467,62.185,776.2726331,678.6369467,0,100,,
676.2726331,678.6369467,64.681,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,64.781,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,64.882,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,64.984,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,65.084,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,69.381,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,69.481,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.081,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.183,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.283,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.383,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.482,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.581,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,70.881,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.081,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.181,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.48,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.681,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.781,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.881,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,71.982,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,72.084,776.2726331,678.6369467,-100,0,,
676.2726331,678.6369467,72.182,776.2726331,678.6369467,-100,0,,
221.6443205,678.6369467,75.482,421.6443205,678.6369467,-200,0,,
221.6443205,678.6369467,75.581,421.6443205,678.6369467,-200,0,,
221.6443205,678.6369467,75.681,421.6443205,678.6369467,-200,0,,
221.6443205,678.6369467,75.78,421.6443205,678.6369467,-200,0,,
202.635304,678.6369467,76.18,402.635304,678.6369467,-200,0,,
196.7484534,778.6369467,76.681,396.7484534,678.6369467,-200,100,,
190.6084427,778.6369467,76.782,390.6084427,678.6369467,-200,100,,
284.7141945,778.6369467,76.882,384.7141945,678.6369467,-100,100,,
278.6958909,778.6369467,76.981,378.6958909,678.6369467,-100,100,,
-27.44435459,978.6369467,82.183,372.5556454,678.6369467,-400,300,,
72.55564541,878.6369467,82.982,372.5556454,678.6369467,-300,200,,
-371.6044354,1303.640471,85.384,-171.6044354,1203.640471,-200,100,,
-312.3730588,1303.640471,86.083,-212.3730588,1203.640471,-100,100,,
-421.6977659,1303.640471,86.883,-221.6977659,1203.640471,-200,100,,
-421.6977659,1303.640471,87.182,-221.6977659,1203.640471,-200,100,,
-421.6977659,1303.640471,87.485,-221.6977659,1203.640471,-200,100,,
-353.6331484,1346.323236,88.583,-253.6331484,1246.323236,-100,100,,
-453.6331484,1346.323236,89.081,-253.6331484,1246.323236,-200,100,,
-453.6331484,1357.121285,89.582,-253.6331484,1257.121285,-200,100,,
-453.6331484,1380.206929,90.282,-253.6331484,1280.206929,-200,100,,
-465.1835147,1380.206929,90.684,-265.1835147,1280.206929,-200,100,,
-465.1835147,1380.206929,91.383,-265.1835147,1280.206929,-200,100,,
-514.3901393,1380.206929,93.082,-314.3901393,1280.206929,-200,100,,
-514.3901393,1380.206929,93.184,-314.3901393,1280.206929,-200,100,,
-414.3901393,1349.722598,93.784,-314.3901393,1349.722598,-100,0,,
-414.3901393,1349.722598,93.985,-314.3901393,1349.722598,-100,0,,
-414.3901393,1349.722598,94.184,-314.3901393,1349.722598,-100,0,,
-514.3901393,1449.722598,94.685,-314.3901393,1349.722598,-200,100,,
-514.3901393,1449.722598,94.983,-314.3901393,1349.722598,-200,100,,
-514.3901393,1449.722598,95.385,-314.3901393,1349.722598,-200,100,,
-549.2645732,1449.722598,95.984,-349.2645732,1349.722598,-200,100,,
-571.8503553,1449.722598,96.684,-371.8503553,1349.722598,-200,100,,
-571.8503553,1449.722598,97.083,-371.8503553,1349.722598,-200,100,,
-571.8503553,1449.722598,97.185,-371.8503553,1349.722598,-200,100,,
-571.8503553,1449.722598,97.78,-371.8503553,1349.722598,-200,100,,
-571.8503553,1449.722598,98.785,-371.8503553,1349.722598,-200,100,,
-583.7279743,1472.799905,99.085,-383.7279743,1372.799905,-200,100,,
-617.0990065,1483.851877,99.483,-417.0990065,1383.851877,-200,100,,
-617.0990065,1483.851877,100.383,-417.0990065,1383.851877,-200,100,,
-628.3965063,1483.851877,101.883,-428.3965063,1383.851877,-200,100,,
-651.7358387,1517.014604,102.681,-451.7358387,1417.014604,-200,100,,
-651.7358387,1517.014604,103.684,-451.7358387,1417.014604,-200,100,,
-674.3300164,1517.014604,104.383,-474.3300164,1417.014604,-200,100,,
-674.3300164,1517.014604,104.982,-474.3300164,1417.014604,-200,100,,
-674.3300164,1517.014604,105.583,-474.3300164,1417.014604,-200,100,,
-674.3300164,1528.557279,106.182,-474.3300164,1428.557279,-200,100,,
-674.3300164,1528.557279,106.681,-474.3300164,1428.557279,-200,100,,
-674.3300164,1550.661459,107.681,-474.3300164,1450.661459,-200,100,,
-574.3300164,1550.661459,109.282,-474.3300164,1450.661459,-100,100,,
-574.3300164,1550.661459,109.685,-474.3300164,1450.661459,-100,100,,
-574.3300164,1550.661459,110.181,-474.3300164,1450.661459,-100,100,,
-574.3300164,1550.661459,111.084,-474.3300164,1450.661459,-100,100,,
-574.3300164,1572.76511,111.483,-474.3300164,1472.76511,-100,100,,
-574.3300164,1572.76511,112.284,-474.3300164,1472.76511,-100,100,,
-674.3300164,1595.902243,113.283,-474.3300164,1495.902243,-200,100,,
-674.3300164,1595.902243,113.381,-474.3300164,1495.902243,-200,100,,
-616.0808089,1658.351507,116.182,-516.0808089,1558.351507,-100,100,,
-716.0808089,1686.822672,120.382,-516.0808089,1586.822672,-200,100,,
-716.0808089,1742.81941,120.884,-516.0808089,1642.81941,-200,100,,
-716.0808089,1742.81941,121.681,-516.0808089,1642.81941,-200,100,,
-664.2177269,1809.687349,123.58,-564.2177269,1709.687349,-100,100,,
-717.5114295,1865.275814,127.281,-617.5114295,1765.275814,-100,100,,
-817.5114295,1865.275814,127.485,-617.5114295,1765.275814,-200,100,,
-817.5114295,1865.275814,127.685,-617.5114295,1765.275814,-200,100,,
-817.5114295,1865.275814,128.381,-617.5114295,1765.275814,-200,100,,
-817.5114295,1865.275814,128.781,-617.5114295,1765.275814,-200,100,,
-817.5114295,1865.275814,129.684,-617.5114295,1765.275814,-200,100,,
-872.5320449,1918.315828,133.282,-672.5320449,1818.315828,-200,100,,
-772.5320449,1918.315828,134.882,-672.5320449,1818.315828,-100,100,,
