 ,frame,TotalFluo,MeanFluo,Cortex Width,Cyto. Area,Total Cyto. Fluo.,Mean Cyto. Fluo.h,Cortex Area,Total Cortex Fluo.,Mean Cortex Fluo.,%age Cortex Fluo.
1,1,4639980,214.021,0.700,5069.500,4639980,228.818,351.000,0,0,0
2,1,4639980,214.021,0.700,5070.750,4639980,228.762,349.750,0,0,0
