frame,area,speed
1,5.778888888888889,0
2,5.7588888888888885,0
3,5.954444444444444,0
4,5.926666666666667,0
5,5.927777777777778,0
6,5.91,0
7,5.987777777777778,0
8,5.851111111111111,0
9,6.06,0
10,5.94,0
11,5.495555555555556,0
12,5.167777777777777,0
13,5.262222222222222,0
14,5.493333333333333,0
15,5.331111111111111,0
16,4.914444444444444,0
17,4.303333333333334,0
18,5.0344444444444445,0
19,5.276666666666666,0
20,4.891111111111111,0
21,5.04,0
22,5.566666666666666,0
23,5.586666666666667,0
24,5.9222222222222225,0
25,6.133333333333334,0
26,5.927777777777778,0
27,4.865555555555556,0
28,4.8133333333333335,0
29,5.0744444444444445,0
30,4.622222222222222,0
31,4.307777777777778,0
32,5.147777777777778,0
33,5.38,0
34,4.947777777777778,0
35,5.438888888888889,0
36,8.758888888888889,0
37,8.848888888888888,0
38,8.592222222222222,0
39,8.286666666666667,0
40,8.587777777777777,0
41,7.58,54
42,5.018888888888889,18
43,5.528888888888889,18
44,5.246666666666667,11
45,5.2155555555555555,11
46,5.472222222222222,54
47,4.946666666666666,54
48,4.448888888888889,54
49,5.652222222222222,54
50,6.002222222222223,54
51,4.956666666666667,54
52,4.987777777777778,54
53,5.49,54
54,5.608888888888889,54
55,4.964444444444444,54
56,4.2155555555555555,54
57,4.348888888888889,54
58,4.57,54
59,4.351111111111111,54
60,4.242222222222222,38
61,4.216666666666667,38
62,4.222222222222222,49
63,4.518888888888889,49
64,4.805555555555555,39
65,5.02,41
66,5.02,49
67,5.096666666666667,8
68,5.114444444444445,8
69,4.99,38
70,4.961111111111111,38
71,4.992222222222222,38
72,5.514444444444444,38
73,5.607777777777778,38
74,5.938888888888889,38
75,6.082222222222223,38
76,5.961111111111111,38
77,5.778888888888889,38
78,5.543333333333333,38
79,5.26,49
80,4.913333333333333,49
81,5.428888888888889,54
82,5.927777777777778,54
83,5.914444444444444,54
84,5.804444444444444,49
85,5.697777777777778,44
86,5.404444444444445,44
87,5.335555555555556,38
88,5.957777777777777,38
89,5.9222222222222225,44
90,5.607777777777778,44
91,5.48,44
92,5.4511111111111115,38
93,4.837777777777778,38
94,5.315555555555555,38
95,4.776666666666666,38
96,4.525555555555556,44
97,4.717777777777778,44
98,4.2588888888888885,44
99,4.232222222222222,44
100,5.107777777777778,39
101,5.176666666666667,39
102,4.855555555555555,38
103,4.206666666666667,38
104,4.111111111111111,38
105,4.242222222222222,38
106,4.078888888888889,44
107,3.8333333333333335,44
108,3.8566666666666665,44
109,3.9133333333333336,44
110,3.921111111111111,39
111,4.101111111111111,39
112,4.518888888888889,54
113,5.114444444444445,39
114,5.265555555555555,39
115,5.401111111111111,39
116,5.486666666666666,39
117,5.545555555555556,41
118,5.57,41
119,5.522222222222222,38
120,5.528888888888889,39
121,5.504444444444444,39
122,5.455555555555556,39
123,5.368888888888889,39
124,5.325555555555556,39
125,5.276666666666666,49
126,5.183333333333334,38
127,5.157777777777778,38
128,5.098888888888889,38
129,5.062222222222222,39
130,4.982222222222222,39
131,4.877777777777778,11
132,4.871111111111111,38
133,4.773333333333333,3
134,4.573333333333333,54
135,4.31,54
136,4.607777777777778,54
137,5.0344444444444445,54
138,4.956666666666667,4
139,4.9911111111111115,4
140,4.9655555555555555,54
141,4.7844444444444445,54
142,3.9644444444444447,54
143,3.152222222222222,54
144,2.267777777777778,54
145,1.5422222222222222,38
146,1.2666666666666666,38
147,1.1933333333333334,38
148,1.4833333333333334,38
149,2.418888888888889,38
150,3.187777777777778,38
151,4.731111111111111,38
152,4.96,38
153,4.911111111111111,38
154,4.594444444444444,38
155,4.1033333333333335,38
156,3.471111111111111,38
157,3.0655555555555556,38
158,2.4344444444444444,38
159,2.3644444444444446,39
160,2.5233333333333334,39
161,4.538888888888889,39
162,5.015555555555555,39
163,4.473333333333334,54
164,3.818888888888889,54
165,2.632222222222222,54
166,2.25,54
167,2.382222222222222,54
168,2.1633333333333336,54
169,1.728888888888889,54
170,1.531111111111111,38
171,1.8155555555555556,38
172,1.521111111111111,38
173,1.4533333333333334,38
174,1.698888888888889,38
175,2.14,38
176,3.112222222222222,38
177,3.5344444444444445,38
178,3.1555555555555554,38
179,2.671111111111111,38
180,2.1266666666666665,38
181,2.1433333333333335,38
182,1.53,38
183,1.78,38
184,2.442222222222222,54
185,2.2311111111111113,54
186,2.1555555555555554,54
187,2.2466666666666666,54
188,3.22,39
189,3.8155555555555556,39
190,3.977777777777778,39
191,3.671111111111111,39
192,2.56,39
193,2.16,39
194,1.958888888888889,54
195,2.241111111111111,54
196,2.79,39
197,4.881111111111111,39
198,4.573333333333333,39
199,2.5766666666666667,38
200,2.548888888888889,38
201,4.315555555555555,38
202,4.651111111111111,38
203,3.69,49
204,2.1855555555555557,49
205,3.22,49
206,4.731111111111111,54
207,4.804444444444444,54
208,4.838888888888889,54
209,4.81,49
210,4.274444444444445,15
211,3.6566666666666667,0
212,4.764444444444444,0
213,5.273333333333333,0
214,5.23,0
215,5.35,0
216,5.342222222222222,0
217,4.764444444444444,0
218,8.34,0
219,7.64,0
220,6.444444444444445,0
221,6.003333333333333,0
222,4.552222222222222,0
223,4.9622222222222225,0
224,3.82,0
225,3.5444444444444443,0
226,3.5655555555555556,0
227,4.971111111111111,0
228,5.447777777777778,0
229,5.743333333333333,0
230,5.592222222222222,0
231,5.487777777777778,0
232,7.341111111111111,0
233,7.182222222222222,18
234,7.862222222222222,18
235,6.23,3
236,4.738888888888889,1
237,6.5055555555555555,2
238,7.96,54
239,6.984444444444445,54
240,5.182222222222222,54
241,5.098888888888889,54
242,5.458888888888889,38
243,5.682222222222222,38
244,5.5055555555555555,38
245,4.618888888888889,38
246,4.59,54
247,4.383333333333334,54
248,4.92,54
249,4.814444444444445,54
250,4.773333333333333,54
251,4.564444444444445,38
252,4.683333333333334,38
253,5.283333333333333,38
254,4.612222222222222,38
255,4.585555555555556,38
256,1.3322222222222222,38
257,2.4066666666666667,38
258,3.611111111111111,38
259,3.778888888888889,38
260,3.781111111111111,41
261,3.781111111111111,41
262,3.1444444444444444,54
263,4.446666666666666,54
264,4.245555555555556,54
265,4.768888888888889,54
266,4.453333333333333,54
267,4.133333333333334,54
268,6.344444444444444,54
269,5.5777777777777775,54
